<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.04.11	27.70	28.10	27.25	27.98	2332	0	0
2013.04.12	27.98	28.05	27.24	27.36	2618	0	0
2013.04.15	27.17	27.48	26.36	26.52	3074	0	0
2013.04.16	26.74	27.11	26.40	26.85	2672	0	0
2013.04.17	26.77	27.20	26.39	26.67	2739	0	0
2013.04.18	26.77	26.82	25.15	25.70	2902	0	0
2013.04.19	25.68	25.96	25.33	25.73	2560	0	0
2013.04.22	25.78	26.36	25.70	26.04	2926	0	0
2013.04.23	25.76	26.33	25.76	26.09	2535	0	0
2013.04.24	26.00	26.40	25.80	26.08	2338	0	0
2013.04.25	26.24	26.40	26.00	26.22	2086	0	0
2013.04.26	26.18	27.09	26.15	26.93	2859	0	0
2013.04.29	27.00	27.41	26.86	27.20	2660	0	0
2013.04.30	27.11	27.85	27.01	27.82	2531	0	0
2013.05.01	27.74	28.68	26.56	27.51	6403	0	0
2013.05.02	27.55	29.02	27.55	28.90	4584	0	0
2013.05.03	29.20	29.27	28.15	28.44	3328	0	0
2013.05.06	28.39	28.57	27.44	27.44	3158	0	0
2013.05.07	27.59	27.85	26.82	26.88	2902	0	0
2013.05.08	26.97	27.30	26.65	27.02	2627	0	0
2013.05.09	27.02	27.55	26.82	27.05	2621	0	0
2013.05.10	27.14	27.30	26.57	26.72	2052	0	0
2013.05.13	26.67	27.33	26.53	26.90	2507	0	0
2013.05.14	26.87	27.28	26.75	27.06	2393	0	0
2013.05.15	27.01	27.11	26.40	26.56	2188	0	0
2013.05.16	26.60	26.68	25.90	26.19	2479	0	0
2013.05.17	26.28	26.60	26.13	26.21	2517	0	0
2013.05.20	26.19	26.25	25.69	25.82	2155	0	0
2013.05.21	25.86	26.01	25.59	25.70	2211	0	0
2013.05.22	25.70	25.85	24.92	25.12	2708	0	0
2013.05.23	24.90	25.53	24.56	25.15	3077	0	0
2013.05.24	25.12	25.19	24.08	24.24	2499	0	0
2013.05.28	24.56	24.80	23.92	24.12	2840	0	0
2013.05.29	24.06	24.17	23.21	23.31	3060	0	0
2013.05.30	23.59	24.78	23.59	24.72	3263	0	0
2013.05.31	24.71	24.95	24.27	24.27	2519	0	0
2013.06.03	24.45	24.57	23.71	23.91	2653	0	0
2013.06.04	23.96	23.96	23.32	23.49	2404	0	0
2013.06.05	23.62	23.71	22.79	22.94	2887	0	0
2013.06.06	23.05	23.12	22.67	22.99	2354	0	0
2013.06.07	23.02	23.40	22.86	23.30	2168	0	0
2013.06.10	23.42	24.60	23.42	24.38	3074	0	0
2013.06.11	24.27	24.35	23.96	24.12	2334	0	0
2013.06.12	24.19	24.27	23.58	23.72	2041	0	0
2013.06.13	23.65	23.83	23.27	23.62	2126	0	0
2013.06.14	23.70	23.89	23.26	23.62	2090	0	0
2013.06.17	23.80	24.25	23.75	23.96	2393	0	0
2013.06.18	24.08	24.69	24.00	24.19	2301	0	0
2013.06.19	24.23	25.19	24.10	24.37	2604	0	0
2013.06.20	24.15	24.75	23.65	23.88	3012	0	0
2013.06.21	24.30	24.70	24.05	24.45	3182	0	0
